Txn Hash	Block	Date Time (UTC)	DIFF	FROM	SELL	TO	VALUE	[TXN Fee]
0x02803b76ca35060780364f1246e16b50e407ad18b307359863b24c031ca92c9e	10752637	2020-08-29 1:12:56	7 days 10 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xa090e606e30bd747d4e6245a1517ebe430f0057e	0.119241602016562 Ether	0.001344
0x27188c3bf9a5c9d8514278601c62429d54512188f90da97ffe2883b7c98766a5	10745029	2020-08-27 21:26:10	8 days 14 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xa64b47d5895c0aaaca4adbb0d14e62eaeb525388	0.1 Ether	0.001302
0x4edd0ba54fe6572ac6b40a0c0ce4bb47b93bcff9b46a4db4bebc0d69d905197a	10717617	2020-08-23 16:19:05	12 days 19 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0x83bff6e07857bac6668b9396483f449400df3865	0.0218 Ether	0.002289
0xdb766ab8883fb5cda18a3163b95876b697ecc0730afbec7ff216ec53620c66c9	10712605	2020-08-22 21:49:50	13 days 13 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xfb2a3ce4744514bacb8ab249a8abfeba214d9a0c	0.1 Ether	0.001617
0x18788c19386ecff31fe8831e5c4bedb242881e7f2f9de81cf7b23aba780b0b68	10692366	2020-08-19 19:12:56	16 days 16 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xde4476558e29face50101e31f6cb2f125254eeba	0.00992002 Ether	0.002457
0xc0039487dc6063aaf152db3fd14c158aeee6e0da4a8c325bb665584c4815ea33	10666227	2020-08-15 18:22:00	20 days 17 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xa7177625cda0b7a2cd7536dacb317b9a4ca240eb	0.1 Ether	0.002457
0x06684870017bf70845d1c46b80ce68be18b45be4fe94a26ae5bf4001b7452bf0	10661050	2020-08-14 23:17:18	21 days 12 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0x49241c7fb2de225f09031d744d823f0a3d67d273	0.1 Ether	0.002226
0x8a30ab276af5a9cf158a0b1da0813646c8928f4c43ee645e65956d958d5cbe7e	10626835	2020-08-09 16:37:00	26 days 18 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0x68bb7c7d860d62155539715247ab7098cfc2a4c8	0.0216 Ether	0.002268
0xad49301a1f6d0c6fd6c7324585757ff92cc2796e78193ad1bfe7fc7b88f16abc	10620310	2020-08-08 16:36:22	27 days 18 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0x67f1b10c8177b7608bf54d131d3db1ccc1acace3	0.019 Ether	0.001995
0x73d08699f1452c7adc64077f68929089259a61c4da24a3618c06fedd3f3d129c	10608719	2020-08-06 21:43:23	29 days 13 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xa090e606e30bd747d4e6245a1517ebe430f0057e	0.087258451751466 Ether	0.000756
0x609a115848051e84907cdb8df00c75607299dcbe2d57f97657f0fb04ef339549	10593267	2020-08-04 12:31:50	31 days 22 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0x4ba2d2e3d9c7c94b01648a35b77dda2ff7c23643	0.02839775 Ether	0.001491
0xc21ca02ba6056599122a07ff37265d0d94018934502d881f0150a6c1d6aafb9c	10583812	2020-08-03 1:18:18	33 days 10 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xb3335f4b721b7cb8d356ae0e14c9e46e45e8965b	0.032682 Ether	0.000882
0x58b457c0879d3b23da3c1887392170ccb44cf9d2b36319897a16f53271c2958d	10578973	2020-08-02 7:16:17	34 days 4 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0x086a707425c79158fd1dd39b662794068c492801	0.0224 Ether	0.002352
0xe3081bb7427f0d8510724eacff5b3a4b7701382586cdb765536f48dab74a061d	10575556	2020-08-01 18:30:43	34 days 17 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xa090e606e30bd747d4e6245a1517ebe430f0057e	0.101494240680505 Ether	0.000756
0xe11fce8fb34c820f39d6d272f01451f5564e87bf07b09afc1c4b903e34e49741	10554794	2020-07-29 13:31:27	37 days 21 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0x9cf49afd0b937ad74d1985a55cd5fc90d45b64ab	0.05572325 Ether	0.001953
0x55c2714ffddafbc5084284f0fa47989684dc371318e306a8355589c28bdd2235	10544385	2020-07-27 23:04:17	39 days 12 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0xa179d3e6ceac9f714c108f40a229e6bd70a3c79c	0.03300352 Ether	0.001386
0x6b2ff934725198752a6a17a17676e88cfe892906ac2dc4d178166ffebc53248a	10542809	2020-07-27 17:09:10	39 days 18 hrs ago	0xded17acd827814ab885bf993aa25e84f9ca62cab	OUT	0x573df6c4a8c579cd8bba0f6753ff213052f59f4f	0.0274 Ether	0.002877
